,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
64,Atom Computing,Atom Computing builds truly scalable quantum computers out of individual atoms.,http://www.atom-computing.com/," Computer, Information Technology, Product Research",01 to 10 ," Berkeley, California, United States",2018," Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology","Atom Computing builds truly scalable quantum computers out of individual atoms.

The company's quantum computers use quantum mechanical properties of atoms to process information and solve problems beyond the reach of traditional computers, including drug design, computational chemistry, and more.

Atom Computing was founded in 2018 and based in Berkeley, California.",Software-2018
65,Atomata,Atomata provides IoT hardware and software solutions for growers of all scales.,https://www.growatomata.com/," Farming, Internet of Things, Software",01 to 10 ," Denver, Colorado, United States",01-01-18 0:00," Agriculture and Farming, Internet Services, Software",,Software-2018
66,Atticus,Atticus – simplifying probate & estate settlement for individuals and their institutional advisors.,https://www.weareatticus.com/," Enterprise Software, Financial Services, FinTech, Legal Tech",01 to 10 ," San Diego, California, United States",01-01-18 0:00," Financial Services, Professional Services, Software",,Software-2018
67,Attila,Attila is an AI platform offering solutions for retail financial institutions to automate sales of financial services.,https://www.attila.ai/," Artificial Intelligence, Financial Services, FinTech",01 to 10 ," San Francisco, California, United States",01-01-18 0:00," Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",,Software-2018
68,Attunely,"Attunely produces a machine learning model for debt collection, decreasing waste, and improving recovery yield.",https://www.attunely.com/," Financial Services, FinTech, Machine Learning",01 to 10 ," Seattle, Washington, United States",01-01-18 0:00," Artificial Intelligence, Data and Analytics, Financial Services, Software","Attunely produces a machine learning model for debt collection, decreasing waste, and improving recovery yield. The company has developed behavioral and economic models trained and tested on over 100 million interactions and decades of collection history. It offers a proven, compliant, and trustworthy machine learning platform that makes the recovery of receivables easy, seamless, and profitable.

Attunely was founded in 2018 and is headquartered in Seattle, Washington, USA.",Software-2018
69,AudioKit Pro,The leading free & open-source iOS & Mac based audio/music developer tools. We proudly power millions of app installs.,http://audiokitpro.com," Apps, Audio, Music",01 to 10 ," Denver, Colorado, United States",2018," Apps, Media and Entertainment, Music and Audio, Software","AudioKit is the leading open-source audio framework. It powers millions of app installs. AudioKit allows developers to quickly add professional audio functionality to iOS, macOS, and Apple Watch apps.

AudioKit is the developer’s choice. It’s lovingly used by startups, indie developers, Apple Design Award Winners, and even Fortune-100 companies. Did we mention it’s completely Free and Open-source?

Additionally, we're the creators of several award-winning & #1 best-selling music instrument apps for the iPhone & iPad. 

Discover what AudioKit can do for you: http://AudioKitPro.com   

If you're interested in partnering with our team, email: hello@audiokitpro.com",Software-2018
70,Augmented Radar Imaging,Augmented Radar Imaging delivers radar and advanced machine learning algorithms to power autonomous vehicles and warehouse robots.,https://augmentedradar.com/#," Augmented Reality, Image Recognition, Machine Learning",01 to 10 ," Los Altos, California, United States",2018," Artificial Intelligence, Data and Analytics, Hardware, Software","Augmented Radar Imaging is building safety and autonomy-enabling next-generation radar systems.

Augmented Radar Imaging delivers radar and advanced machine learning algorithms to power autonomous vehicles and warehouse robots.",Software-2018
71,Augmented Review,Augmented Review helps to review and validate 3D designs in real-time augmented reality.,https://augmented-review.com/," 3D Technology, Augmented Reality, Real Time, Web Design",01 to 10 ," New York, New York, United States",2018," Design, Hardware, Other, Software","Augmented Review helps to review and validate 3D designs in real-time augmented reality.

Augmented Review is a design collaboration platform using augmented reality to streamline the complex and time-consuming process to design and launch a new physical product. Augmented Review saves cost and effort of imaging, prototyping and mockups. Also, it offers accurate design feedback easily.",Software-2018
72,Aura Salonware,Aura Salonware is a provider of salon management software to elevate the salon experience.,https://aurasalonware.com/," Beauty, Software",01 to 10 ," Miami Beach, Florida, United States",2018," Consumer Goods, Software","Aura Salonware is a provider of salon management software to elevate the salon experience. The company's data-driven platform offers appointment scheduling, inventory management functions, marketing functions and reports, enabling salon owners to set customizable goals and empower their staff.",Software-2018
73,Aurelius Data,"Aurelius Data provide patients, consumers, and healthcare providers with the best cannabinoid treatments.",https://aureliusdata.com/," Health Care, Information Technology, Market Research, Professional Services",01 to 10 ," Missoula, Montana, United States",2018," Data and Analytics, Design, Health Care, Information Technology, Other","Aurelius Data provide patients, consumers, and healthcare providers with the best cannabinoid treatments, and alternative wellness therapies based on best practices, the latest technologies and data-driven analysis for a better quality of life.",Software-2018
