,company_name,description,cleaned_description
226,Commonwealth Labs,Commonwealth Labs is a governance startup offering a new twist on token airdrops.,commonwealth lab governance startup offering new twist token airdrop
227,CompanionMx,CompanionMx is a digital health technology company.,companionmx digital health technology company
228,Complete Technology Solutions,"Comprehensive IT solutions for businesses of all sizes, Complete Tech Solutions is here to actively manage your end-to-end IT needs.",comprehensive solution business size complete tech solution actively manage endtoend need
229,Composio,"The most innovative writing platform available. Designed to make self-publishing easy, accessible and shareable across any device. ",innovative writing platform available designed make selfpublishing easy accessible shareable across device 
230,Compt,"Compt is a perk management software that helps companies create, manage, and streamline perk stipends that delight employees.",compt perk management software help company create manage streamline perk stipend delight employee
231,ConaLogix,"ConaLogix LLC specializes in Biotech, Pharmaceutical and Life-Science focused IT Consulting and Solutions.",conalogix llc specializes biotech pharmaceutical lifescience focused consulting solution
232,Concreit,Concreit provides real estate software.,concreit provides real estate software
233,Condeto,Condeto is a nimble property management tool built for the modern age.,condeto nimble property management tool built modern age
234,Confetti Collective,Confetti Collective is a  Retailing Company,confetti collective  retailing company
235,Conflict Coach,Conflict Coach is Just for you! Receive in-depth coaching and a personalized quick reference guide to a constructive conflict conversation.,conflict coach receive indepth coaching personalized quick reference guide constructive conflict conversation
236,ConnectATD,"Software & Mobile App Development, Web Design, Digital Marketing",software  mobile app development web design digital marketing
237,ConnectOR,"ConnectOR's secure, mobile-first & web-based platform allows surgical teams to easily communicate & manage each patient’s surgical lifecycle",connector secure mobilefirst  webbased platform allows surgical team easily communicate  manage patient’s surgical lifecycle
238,Consentual,Consentual provides a video-based e-signature platform used for peer-to-peer consent agreements and contracts.,consentual provides videobased esignature platform used peertopeer consent agreement contract
239,Constellation Kidney Group,Constellation Kidney Group offers software solutions for the healthcare industry.,constellation kidney group offer software solution healthcare industry
